País,Jornal/Agência,Afiliação Política,Circulação Estimada,Grupo Controlador/Donos,Link
Nigéria,The Punch,Centro,80,Punch Nigeria Limited (Família Aboderin),punchng.com
Nigéria,Vanguard,Centro,55,Vanguard Media (Sam Amuka-Pemu),vanguardngr.com
Nigéria,The Guardian (NG),Liberal,50,Guardian Newspapers Limited (Família Ibru),guardian.ng
Quênia,Daily Nation,Independente,170,Nation Media Group (Aga Khan Fund),nation.africa
Quênia,The Standard,Independente,74,Standard Group (Família Moi e associados),standardmedia.co.ke
Egito,Al-Ahram,"Estatal, pró-governo",580,Governo do Egito (Conselho Nacional de Mídia),ahram.org.eg
Egito,Al-Masry Al-Youm,Independente,"250,000 (estimado)",Al-Masry Al-Youm Corp. (Salah Diab),almasryalyoum.com
Índia,The Times of India,Centro,"2,800,000","The Times Group (Bennett, Coleman & Co.)",timesofindia.com
Índia,Dainik Jagran,Nacionalista Hindu,"3,000,000 (impresso)",Jagran Prakashan Limited (Família Gupta),jagran.com
Índia,Hindustan Times,Centro,"990,000 (impresso)",HT Media (Shobhana Bhartia / Família Birla),hindustantimes.com
Japão,Yomiuri Shimbun,Conservador,"7,000,000 (edições manhã e noite combinadas)",Yomiuri Shimbun Holdings,yomiuri.co.jp
Japão,Asahi Shimbun,Centro-esquerda,"5,000,000 (edições manhã e noite combinadas)",The Asahi Shimbun Company,asahi.com
Japão,Mainichi Shimbun,Centro-esquerda,"2,000,000 (edições manhã e noite combinadas)","The Mainichi Newspapers Co., Ltd.",mainichi.jp
Austrália,Herald Sun,Conservador,350,News Corp Australia (Rupert Murdoch),heraldsun.com.au
Austrália,The Daily Telegraph,Conservador,260,News Corp Australia (Rupert Murdoch),dailytelegraph.com.au
Austrália,The Sydney Morning Herald,Centro,105,Nine Entertainment Co.,smh.com.au
Catar,Al Jazeera,Patrocinado pelo Estado / Pan-Arabista,N/A (Foco em TV e Digital),Qatar Media Corp. (Governo do Catar),aljazeera.com
Israel,Haaretz,Centro-esquerda / Liberal,70,Família Schocken (e M. DuMont Schauberg),haaretz.com
Israel,Yedioth Ahronoth,Centro,300,Yedioth Ahronoth Group (Família Mozes),ynet.co.il
Israel,The Jerusalem Post,Centro-direita,50,Eli Azur (Mirkaei Tikshoret),jpost.com
Arábia Saudita,Asharq Al-Awsat,Pró-governo (Pan-Árabe),200,Saudi Research and Media Group (SRMG),aawsat.com
Arábia Saudita,Arab News,Pró-governo,50,Saudi Research and Media Group (SRMG),arabnews.com
Emirados Árabes,Gulf News,Pró-governo,90,Al Nisr Publishing,gulfnews.com
Irã,Kayhan,Conservador / Linha-dura (Estatal),70,Escritório do Líder Supremo do Irã,kayhan.ir
Turquia,Hürriyet,Centro-direita / Pró-governo,280,Demirören Holding,hurriyet.com.tr
Turquia,Sabah,Conservador / Pró-governo,300,Kalyon Group,sabah.com.tr
Paquistão,Dawn,Centro-esquerda / Liberal,100,Dawn Media Group (Família Haroon),dawn.com
Paquistão,The News International,Centro-direita,140,Jang Media Group (Mir Shakil-ur-Rahman),thenews.com.pk
Cazaquistão,Kazinform,Agência Estatal,N/A (Digital),Governo do Cazaquistão,inform.kz
Cazaquistão,The Astana Times,Centro / Pró-governo,10,Svezhaya Pressa LLP / Governo,astanatimes.com
Uzbequistão,UzDaily,Pró-governo / Negócios,N/A (Digital),Dinara&Co (Ligado ao Estado),uzdaily.uz
Afeganistão,TOLOnews,Independente (Sob restrições),N/A (Digital e TV),MOBY Group (Saad Mohseni),tolonews.com
Indonésia,Kompas,Centro,500,Kompas Gramedia Group,kompas.com
Indonésia,The Jakarta Post,Centro / Liberal,40,PT Bina Media Tenggara,thejakartapost.com
Filipinas,Philippine Daily Inquirer,Centro,250,Inquirer Group (Família Rufino-Prieto),inquirer.net
Filipinas,The Philippine Star,Centro-direita,260,MediaQuest Holdings (Manny Pangilinan),philstar.com
Tailândia,Bangkok Post,Centro / Pró-establishment,70,Bangkok Post Public Company Limited,bangkokpost.com
Malásia,The Star,Centro-direita (Ligado a partido),170,Star Media Group (Partido Chinês da Malásia - MCA),thestar.com.my
Ucrânia,Ukrayinska Pravda,Independente / Pró-Ocidente,N/A (Digital),Dragon Capital (Tomas Fiala),pravda.com.ua
Ucrânia,Kyiv Post,Independente,N/A (Digital),Adnan Kivan (KADORR Group),kyivpost.com
Sérvia,Blic,Centro / Sensacionalista,100,Ringier Axel Springer,blic.rs
Geórgia,Civil Georgia,Independente / Financiado por ONGs,N/A (Digital),Associação das Nações Unidas da Geórgia (UNAG),civil.ge
